Id,Date,Disease,Cases,Source
DPSRT006CF6,2022-09-12,CHOLERA,0.0,PIDSR
DPSRT009186,2022-09-12,DENGUE FEVER,47.0,PIDSR
DPSRT00DAA6,2022-09-12,RABIES,0.0,PIDSR
DPSRT00B616,2022-09-12,LEPTOSPIROSIS,2.0,PIDSR
DPSRT00FF36,2022-09-12,TYPHOID FEVER,1.0,PIDSR
DPSRT0112B6,2022-09-12,ROTAVIRAL ENTERITIS,3.0,PIDSR
DPSRT00FF42,2022-09-19,TYPHOID FEVER,7.0,PIDSR
DPSRT0023E2,2022-09-19,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT0123D2,2022-09-19,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT0112C2,2022-09-19,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00B622,2022-09-19,LEPTOSPIROSIS,2.0,PIDSR
DPSRT004872,2022-09-19,HEPATITIS A,1.0,PIDSR
DPSRT009192,2022-09-19,DENGUE FEVER,37.0,PIDSR
DPSRT00DAB2,2022-09-19,RABIES,0.0,PIDSR
DPSRT006D02,2022-09-19,CHOLERA,0.0,PIDSR
DPSRT00B62E,2022-09-26,LEPTOSPIROSIS,0.0,PIDSR
DPSRT006D0E,2022-09-26,CHOLERA,1.0,PIDSR
DPSRT00DABE,2022-09-26,RABIES,0.0,PIDSR
DPSRT0123DE,2022-09-26,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00487E,2022-09-26,HEPATITIS A,0.0,PIDSR
DPSRT00FF4E,2022-09-26,TYPHOID FEVER,4.0,PIDSR
DPSRT00919E,2022-09-26,DENGUE FEVER,38.0,PIDSR
DPSRT0023EE,2022-09-26,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT0112CE,2022-09-26,ROTAVIRAL ENTERITIS,1.0,PIDSR
DPSRT00488A,2022-10-03,HEPATITIS A,0.0,PIDSR
DPSRT0091AA,2022-10-03,DENGUE FEVER,47.0,PIDSR
DPSRT00DACA,2022-10-03,RABIES,0.0,PIDSR
DPSRT00B63A,2022-10-03,LEPTOSPIROSIS,0.0,PIDSR
DPSRT0123EA,2022-10-03,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT006D1A,2022-10-03,CHOLERA,0.0,PIDSR
DPSRT0023FA,2022-10-03,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT00FF5A,2022-10-03,TYPHOID FEVER,2.0,PIDSR
DPSRT0112DA,2022-10-03,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00DAD6,2022-10-10,RABIES,0.0,PIDSR
DPSRT0112E6,2022-10-10,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00FF66,2022-10-10,TYPHOID FEVER,3.0,PIDSR
DPSRT00B646,2022-10-10,LEPTOSPIROSIS,2.0,PIDSR
DPSRT0123F6,2022-10-10,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT0091B6,2022-10-10,DENGUE FEVER,27.0,PIDSR
DPSRT004896,2022-10-10,HEPATITIS A,0.0,PIDSR
DPSRT002406,2022-10-10,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT006D26,2022-10-10,CHOLERA,1.0,PIDSR
DPSRT00FF72,2022-10-17,TYPHOID FEVER,2.0,PIDSR
DPSRT00DAE2,2022-10-17,RABIES,0.0,PIDSR
DPSRT0112F2,2022-10-17,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT002412,2022-10-17,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT0048A2,2022-10-17,HEPATITIS A,0.0,PIDSR
DPSRT012402,2022-10-17,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT006D32,2022-10-17,CHOLERA,1.0,PIDSR
DPSRT0091C2,2022-10-17,DENGUE FEVER,30.0,PIDSR
DPSRT00B652,2022-10-17,LEPTOSPIROSIS,2.0,PIDSR
DPSRT00B65E,2022-10-24,LEPTOSPIROSIS,2.0,PIDSR
DPSRT00DAEE,2022-10-24,RABIES,0.0,PIDSR
DPSRT006D3E,2022-10-24,CHOLERA,3.0,PIDSR
DPSRT0112FE,2022-10-24,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT0091CE,2022-10-24,DENGUE FEVER,27.0,PIDSR
DPSRT00FF7E,2022-10-24,TYPHOID FEVER,4.0,PIDSR
DPSRT0048AE,2022-10-24,HEPATITIS A,0.0,PIDSR
DPSRT01240E,2022-10-24,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00241E,2022-10-24,ACUTE BLOODY DIARRHEA,1.0,PIDSR
DPSRT00B66A,2022-10-31,LEPTOSPIROSIS,11.0,PIDSR
DPSRT00242A,2022-10-31,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT00DAFA,2022-10-31,RABIES,0.0,PIDSR
DPSRT0048BA,2022-10-31,HEPATITIS A,1.0,PIDSR
DPSRT0091DA,2022-10-31,DENGUE FEVER,32.0,PIDSR
DPSRT01130A,2022-10-31,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT006D4A,2022-10-31,CHOLERA,0.0,PIDSR
DPSRT01241A,2022-10-31,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00FF8A,2022-10-31,TYPHOID FEVER,2.0,PIDSR
DPSRT002436,2022-11-07,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT006D56,2022-11-07,CHOLERA,2.0,PIDSR
DPSRT012426,2022-11-07,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00B676,2022-11-07,LEPTOSPIROSIS,107.0,PIDSR
DPSRT00FF96,2022-11-07,TYPHOID FEVER,4.0,PIDSR
DPSRT0091E6,2022-11-07,DENGUE FEVER,43.0,PIDSR
DPSRT0048C6,2022-11-07,HEPATITIS A,0.0,PIDSR
DPSRT011316,2022-11-07,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00DB06,2022-11-07,RABIES,0.0,PIDSR
DPSRT002442,2022-11-14,ACUTE BLOODY DIARRHEA,2.0,PIDSR
DPSRT00FFA2,2022-11-14,TYPHOID FEVER,1.0,PIDSR
DPSRT011322,2022-11-14,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT012432,2022-11-14,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT0091F2,2022-11-14,DENGUE FEVER,44.0,PIDSR
DPSRT0048D2,2022-11-14,HEPATITIS A,0.0,PIDSR
DPSRT00DB12,2022-11-14,RABIES,0.0,PIDSR
DPSRT006D62,2022-11-14,CHOLERA,5.0,PIDSR
DPSRT00B682,2022-11-14,LEPTOSPIROSIS,18.0,PIDSR
DPSRT01132E,2022-11-21,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT01243E,2022-11-21,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT0048DE,2022-11-21,HEPATITIS A,0.0,PIDSR
DPSRT0091FE,2022-11-21,DENGUE FEVER,36.0,PIDSR
DPSRT00FFAE,2022-11-21,TYPHOID FEVER,4.0,PIDSR
DPSRT00B68E,2022-11-21,LEPTOSPIROSIS,1.0,PIDSR
DPSRT00DB1E,2022-11-21,RABIES,0.0,PIDSR
DPSRT006D6E,2022-11-21,CHOLERA,2.0,PIDSR
DPSRT00244E,2022-11-21,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT0048EA,2022-11-28,HEPATITIS A,0.0,PIDSR
DPSRT01133A,2022-11-28,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00B69A,2022-11-28,LEPTOSPIROSIS,1.0,PIDSR
DPSRT00920A,2022-11-28,DENGUE FEVER,34.0,PIDSR
DPSRT00FFBA,2022-11-28,TYPHOID FEVER,1.0,PIDSR
DPSRT006D7A,2022-11-28,CHOLERA,0.0,PIDSR
DPSRT00245A,2022-11-28,ACUTE BLOODY DIARRHEA,0.0,PIDSR
DPSRT01244A,2022-11-28,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00DB2A,2022-11-28,RABIES,0.0,PIDSR
DPSRT011346,2022-12-05,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00B6A6,2022-12-05,LEPTOSPIROSIS,0.0,PIDSR
DPSRT0048F6,2022-12-05,HEPATITIS A,0.0,PIDSR
DPSRT009216,2022-12-05,DENGUE FEVER,37.0,PIDSR
DPSRT006D86,2022-12-05,CHOLERA,2.0,PIDSR
DPSRT002466,2022-12-05,ACUTE BLOODY DIARRHEA,1.0,PIDSR
DPSRT00DB36,2022-12-05,RABIES,1.0,PIDSR
DPSRT012456,2022-12-05,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00FFC6,2022-12-05,TYPHOID FEVER,0.0,PIDSR
DPSRT00DB42,2022-12-12,RABIES,0.0,PIDSR
DPSRT012462,2022-12-12,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT004902,2022-12-12,HEPATITIS A,0.0,PIDSR
DPSRT00B6B2,2022-12-12,LEPTOSPIROSIS,3.0,PIDSR
DPSRT00FFD2,2022-12-12,TYPHOID FEVER,2.0,PIDSR
DPSRT002472,2022-12-12,ACUTE BLOODY DIARRHEA,1.0,PIDSR
DPSRT011352,2022-12-12,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT006D92,2022-12-12,CHOLERA,0.0,PIDSR
DPSRT009222,2022-12-12,DENGUE FEVER,40.0,PIDSR
DPSRT01135E,2022-12-19,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT00490E,2022-12-19,HEPATITIS A,0.0,PIDSR
DPSRT006D9E,2022-12-19,CHOLERA,1.0,PIDSR
DPSRT00FFDE,2022-12-19,TYPHOID FEVER,1.0,PIDSR
DPSRT01246E,2022-12-19,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
DPSRT00922E,2022-12-19,DENGUE FEVER,39.0,PIDSR
DPSRT00247E,2022-12-19,ACUTE BLOODY DIARRHEA,1.0,PIDSR
DPSRT00B6BE,2022-12-19,LEPTOSPIROSIS,0.0,PIDSR
DPSRT00DB4E,2022-12-19,RABIES,0.0,PIDSR
DPSRT00248A,2022-12-26,ACUTE BLOODY DIARRHEA,2.0,PIDSR
DPSRT00FFEA,2022-12-26,TYPHOID FEVER,0.0,PIDSR
DPSRT00DB5A,2022-12-26,RABIES,0.0,PIDSR
DPSRT00923A,2022-12-26,DENGUE FEVER,21.0,PIDSR
DPSRT01136A,2022-12-26,ROTAVIRAL ENTERITIS,0.0,PIDSR
DPSRT006DAA,2022-12-26,CHOLERA,0.0,PIDSR
DPSRT00491A,2022-12-26,HEPATITIS A,0.0,PIDSR
DPSRT00B6CA,2022-12-26,LEPTOSPIROSIS,2.0,PIDSR
DPSRT01247A,2022-12-26,CHIKUNGUYA VIRAL DISEASE,0.0,PIDSR
